Configuration,Rule Source,Sarif Identifier,Alerts
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/inheritance/incorrect-overridden-signature,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/inheritance/incorrect-overriding-signature,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/inheritance/signature-mismatch,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/init-calls-subclass,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/init-method-is-generator,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/insecure-cookie,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/insecure-default-protocol,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/insecure-protocol,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/insecure-temporary-file,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/iter-returns-non-iterator,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/iter-returns-non-self,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/iteration-string-and-sequence,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/jinja2/autoescape-false,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/ldap-injection,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/leaking-list-comprehension,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/log-injection,14
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/loop-variable-capture,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/member-test-non-container,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/mismatched-multiple-assignment,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/missing-call-to-delete,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/missing-call-to-init,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/missing-equals,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/mixed-returns,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/mixed-tuple-returns,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/modification-of-default-value,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/modification-of-locals,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/multiple-calls-to-delete,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/multiple-calls-to-init,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/multiple-definition,1
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/mutable-descriptor,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/nested-loops-with-same-variable,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/nested-loops-with-same-variable-reused,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/non-iterable-in-for-loop,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/nosql-injection,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/not-named-cls,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/not-named-self,2
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/old-style-octal-literal,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/overly-complex-delete,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/overly-large-range,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/overly-permissive-file,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/overwritten-inherited-attribute,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/pam-auth-bypass,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/paramiko-missing-host-key-validation,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/partial-ssrf,4
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/path-injection,3
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/percent-format/not-mapping,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/percent-format/unsupported-character,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/percent-format/wrong-arguments,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/polluting-import,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/polynomial-redos,4
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/print-during-import,1
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/procedure-return-value-used,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/property-in-old-style-class,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/pythagorean,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/raise-not-implemented,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/raises-tuple,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/redos,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/redundant-assignment,1
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/redundant-comparison,1
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/redundant-else,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/redundant-global-declaration,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/reflective-xss,1
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/regex-injection,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/regex/backspace-escape,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/regex/duplicate-in-character-class,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/regex/incomplete-special-group,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/regex/unmatchable-caret,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/regex/unmatchable-dollar,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/repeated-import,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/request-without-cert-validation,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/return-or-yield-outside-function,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/samesite-none-cookie,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/shell-command-constructed-from-input,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/should-use-with,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/side-effect-in-assert,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/slots-in-old-style-class,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/special-method-wrong-signature,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/sql-injection,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/stack-trace-exposure,2
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/str-format/missing-argument,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/str-format/missing-named-argument,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/str-format/mixed-fields,0
